rank,region_id,region_name,state,city,metro,county_name,current_value,appreciation_pct,appreciation_score,velocity_score,distress_score,pricing_power_score,value_gap_score,composite_score,days_to_pending,price_cut_pct,sale_to_list,value_gap_pct,strategy
32,65187,17801,PA,Sunbury,"Sunbury, PA",Northumberland County,174519.136169323,7.680252900743326,98.24807839059325,88.66373320981936,52.0173173393412,,66.88365824131138,71.16255743621304,33.666666666666664,23.828737523520413,,257.8132789616582,Balanced
33,65234,17872,PA,Shamokin,"Sunbury, PA",Northumberland County,54116.254021074245,7.666065491438544,98.1563632326534,88.66373320981936,52.0173173393412,,66.88365824131138,71.14421440462507,33.666666666666664,23.828737523520413,,257.8132789616582,Balanced
34,77224,44606,OH,Apple Creek,"Wooster, OH",Wayne County,312956.5272558765,5.371609672806901,83.32374839289623,92.13756368689208,86.58968375698515,,42.54077511900112,70.91835419115492,31.166666666666668,28.884126613014388,,155.20950780410354,Balanced
35,77938,46057,IN,Frankfort,"Frankfort, IN",Clinton County,235350.7077235373,5.6813198945006125,85.32588432116974,98.853635942566,100.0,,19.90174545049916,70.81625314284699,26.333333333333332,35.8062459356185,,59.78737527916965,Balanced
36,77461,45135,OH,Leesburg,"Washington Court House, OH",Highland County,252044.31409676213,4.867652623927649,80.0658949441144,85.14358499305233,100.0,,37.95252798844442,70.63240158512224,36.2,37.04672739352265,,135.8703253320617,Balanced
37,78250,46764,IN,Larwill,"Fort Wayne, IN",Whitley County,314205.2870523955,5.623064205454505,84.94928774832272,92.83232978230662,98.12144512503946,31.35795959009002,45.330893817017305,70.51838321255522,30.666666666666668,30.570373365650845,0.9953697503807503,166.9696883445628,Balanced
38,78228,46723,IN,Churubusco,"Fort Wayne, IN",Whitley County,288116.8967582829,5.580087815839706,84.67146490720137,92.83232978230662,98.12144512503946,31.35795959009002,45.330893817017305,70.46281864433095,30.666666666666668,30.570373365650845,0.9953697503807503,166.9696883445628,Balanced
39,77235,44618,OH,Dalton,"Wooster, OH",Wayne County,291409.03242988954,4.955242679240291,80.63212487266462,92.13756368689208,86.58968375698515,,42.54077511900112,70.3800294871086,31.166666666666668,28.884126613014388,,155.20950780410354,Balanced
40,87078,66067,KS,Ottawa,"Ottawa, KS",Franklin County,226616.8926841015,7.642662440469857,98.00507313664241,86.81102362204724,99.52262473361584,,17.163776552659275,70.30049960899296,35.0,30.77526267001745,,48.24700297326982,Balanced
41,76656,43356,OH,Waldo,"Marion, OH",Marion County,293433.66043057345,5.431971743963318,83.71396176947242,97.92728114867994,100.0,,19.840944687846413,70.29643752119975,27.0,31.874184941010743,,59.53110376416123,Balanced
42,78502,47244,IN,Hartsville,"Columbus, IN",Bartholomew County,263037.7556133976,7.3701560850631775,96.24344330776917,89.3584993052339,100.0,,15.428791088050694,70.20614674021076,33.166666666666664,31.708138072882107,,40.93414480943011,Balanced
43,77284,44677,OH,Smithville,"Wooster, OH",Wayne County,250737.14176070143,4.8200907257961205,79.75842887294226,92.13756368689208,86.58968375698515,,42.54077511900112,70.20529028716413,31.166666666666668,28.884126613014388,,155.20950780410354,Balanced
44,78271,46787,IN,South Whitley,"Fort Wayne, IN",Whitley County,235121.0951513246,5.3658406786592865,83.28645446572207,92.83232978230662,98.12144512503946,31.35795959009002,45.330893817017305,70.18581655603509,30.666666666666668,30.570373365650845,0.9953697503807503,166.9696883445628,Balanced
45,77347,44838,OH,Hayesville,"Ashland, OH",Ashland County,180737.8500417868,7.60625881410528,97.76974022491163,94.2218619731357,88.77673286226002,,19.424606102505976,70.03858823256267,29.666666666666668,29.203930703120047,,57.776261960103135,Balanced
46,87913,68313,NE,Beaver Crossing,"Lincoln, NE",Seward County,273194.1475637104,2.6618667811919146,65.80649122903208,93.52709587772117,81.39407572968189,,59.191980023955345,69.9839285720781,30.166666666666668,28.124392095069688,,225.39332329470403,Balanced
47,65539,18619,PA,Hillsgrove,"Williamsport, PA",Sullivan County,151576.50188595068,9.868957672945337,100.0,83.80037054191754,89.26847880701163,,26.54921621977444,69.92361311374073,37.166666666666664,29.275836891255075,,87.80606008985056,Balanced
48,79188,48415,MI,Birch Run,"Saginaw, MI",Saginaw County,227535.33963136523,8.503967509725296,100.0,88.20055581287633,66.24754293323345,,45.00506844809853,69.89063343884166,34.0,25.90957070512428,,165.5963542402213,Balanced
49,79190,48417,MI,Burt,"Saginaw, MI",Saginaw County,197470.7345241912,9.593496974838859,100.0,88.20055581287633,66.24754293323345,,45.00506844809853,69.89063343884166,34.0,25.90957070512428,,165.5963542402213,Balanced
50,79299,48637,MI,Merrill,"Saginaw, MI",Saginaw County,190404.11970980265,8.053569370040687,100.0,88.20055581287633,66.24754293323345,,45.00506844809853,69.89063343884166,34.0,25.90957070512428,,165.5963542402213,Balanced
51,79278,48616,MI,Chesaning,"Saginaw, MI",Saginaw County,205006.53008559687,8.253731372644427,100.0,88.20055581287633,66.24754293323345,,45.00506844809853,69.89063343884166,34.0,25.90957070512428,,165.5963542402213,Balanced
52,79332,48722,MI,Bridgeport,"Saginaw, MI",Saginaw County,169771.12992295905,9.158612627489365,100.0,88.20055581287633,66.24754293323345,,45.00506844809853,69.89063343884166,34.0,25.90957070512428,,165.5963542402213,Balanced
53,79300,48638,MI,Saginaw,"Saginaw, MI",Saginaw County,192344.4994760102,7.873339063739712,99.49629274423461,88.20055581287633,66.24754293323345,,45.00506844809853,69.78989198768859,34.0,25.90957070512428,,165.5963542402213,Balanced
54,77072,44217,OH,Creston,"Wooster, OH",Wayne County,244170.92253783144,4.443956960705342,77.32689490287592,92.13756368689208,86.58968375698515,,42.54077511900112,69.71898349315086,31.166666666666668,28.884126613014388,,155.20950780410354,Balanced
55,77932,46049,IN,Kempton,"Frankfort, IN",Tipton County,207275.4196816032,5.228950168579808,82.40151948691837,98.853635942566,100.0,,17.32189945496165,69.7154109768892,26.333333333333332,35.8062459356185,,48.91348138509491,Balanced
56,83110,57053,SD,Parker,"Sioux Falls, SD",Turner County,334314.2880690546,6.559777450088583,91.0047134663226,42.345993515516426,75.99446826451538,,89.20270818888699,69.70957668704827,67.0,27.33482749491487,,351.8867164328458,Balanced
57,76617,43302,OH,Marion,"Marion, OH",Marion County,162184.09468341316,4.9554420551688905,80.63341374749639,97.92728114867994,100.0,,19.840944687846413,69.68032791680454,27.0,31.874184941010743,,59.53110376416123,Balanced
58,79285,48623,MI,Freeland,"Saginaw, MI",Saginaw County,281079.7638768253,7.760247558238353,98.76520752170444,88.20055581287633,66.24754293323345,,45.00506844809853,69.64367494318255,34.0,25.90957070512428,,165.5963542402213,Balanced
59,79266,48604,MI,Saginaw,"Saginaw, MI",Saginaw County,132727.04295024285,7.740519289873717,98.6376732263252,88.20055581287633,66.24754293323345,,45.00506844809853,69.6181680841067,34.0,25.90957070512428,,165.5963542402213,Balanced
60,76484,43044,OH,,"Urbana, OH",Champaign County,269610.460045504,5.450583330476285,83.83427722382199,100.0,94.81405571910192,,19.407238131208235,69.61111421482644,24.0,30.08674606298083,,57.70305701788037,Balanced
61,77283,44676,OH,Shreve,"Wooster, OH",Wayne County,242242.9195749125,4.344334918339305,76.68288364235548,92.13756368689208,86.58968375698515,,42.54077511900112,69.59018124104678,31.166666666666668,28.884126613014388,,155.20950780410354,Balanced
62,90165,73754,OK,Lahoma,"Enid, OK",Garfield County,146230.21126538122,5.021156114018488,81.05822529390242,69.90504863362668,78.58510429268473,,68.21219570926245,69.55211478589526,47.166666666666664,27.71364660591947,,263.412983550921,Balanced
63,67998,24127,VA,New Castle,"Roanoke, VA",Craig County,212154.77253345383,6.387195809044269,89.8890515349675,78.2422417786012,100.0,34.52937323412631,45.058600653723005,69.5438534402836,41.166666666666664,33.11355642455492,0.9941970819961169,165.82198922962888,Balanced
64,77392,44906,OH,Mansfield,"Mansfield, OH",Richland County,163227.7060594445,7.565570712474064,97.50671012637758,95.84298286243632,85.27419602676565,,18.62634266829414,69.45004633677475,28.5,28.691767714627815,,54.41163015721497,Balanced
65,84708,60922,IL,,"Kankakee, IL",Iroquois County,211496.5516774224,9.94060524846143,100.0,86.3478462251042,76.61164012677037,,33.92313140388381,69.37652355115168,35.333333333333336,27.425074250404368,,118.88666390674845,Balanced
66,77921,46035,IN,Colfax,"Frankfort, IN",Clinton County,205497.922342876,4.567615424393368,78.12629071109612,98.853635942566,100.0,,19.90174545049916,69.37633442083226,26.333333333333332,35.8062459356185,,59.78737527916965,Balanced
67,77939,46058,IN,Mulberry,"Frankfort, IN",Clinton County,246270.98129395043,4.540880915990705,77.95346425575673,98.853635942566,100.0,,19.90174545049916,69.34176912976439,26.333333333333332,35.8062459356185,,59.78737527916965,Balanced
68,77456,45123,OH,Greenfield,"Chillicothe, OH",Highland County,162935.3042831564,4.903714550069426,80.29901891908801,87.50578971746178,90.80310360791697,,37.95252798844442,69.31208804658225,34.5,29.5002393918315,,135.8703253320617,Balanced
69,87777,67867,KS,Montezuma,,Gray County,252329.4170639797,7.415400668534508,96.53592899207217,,,,100.0,69.30718579841444,,,,410.85853680647705,Balanced
70,79288,48626,MI,Hemlock,"Saginaw, MI",Saginaw County,237118.67964811003,7.49312898686539,97.0384072697457,88.20055581287633,66.24754293323345,,45.00506844809853,69.2983148927908,34.0,25.90957070512428,,165.5963542402213,Balanced
71,78229,46725,IN,Columbia City,"Fort Wayne, IN",Whitley County,274682.1436453275,4.661618005530039,78.73397470684846,92.83232978230662,98.12144512503946,31.35795959009002,45.330893817017305,69.27532060426037,30.666666666666668,30.570373365650845,0.9953697503807503,166.9696883445628,Balanced
72,65196,17823,PA,Rebuck,"Sunbury, PA",Northumberland County,258792.81250962047,6.135083395475159,88.25925927816026,88.66373320981936,52.0173173393412,,66.88365824131138,69.16479361372645,33.666666666666664,23.828737523520413,,257.8132789616582,Balanced
73,76457,43009,OH,Cable,"Urbana, OH",Champaign County,320983.2427696583,5.082534852662045,81.45501096406316,100.0,94.81405571910192,,19.407238131208235,69.13526096287467,24.0,30.08674606298083,,57.70305701788037,Balanced
74,79311,48655,MI,Saint Charles,"Saginaw, MI",Saginaw County,192029.3567219936,7.2975234529254225,95.77390632712705,88.20055581287633,66.24754293323345,,45.00506844809853,69.04541470426707,34.0,25.90957070512428,,165.5963542402213,Balanced
75,77259,44645,OH,Marshallville,"Wooster, OH",Wayne County,283203.39240692504,3.879763720532737,73.67964183366425,92.13756368689208,86.58968375698515,,42.54077511900112,68.98953287930853,31.166666666666668,28.884126613014388,,155.20950780410354,Balanced
76,87752,67835,KS,Cimarron,"Garden City, KS",Gray County,227088.36340940112,7.631646003058163,97.93385687189368,,46.669969688287225,,100.0,68.92076531203618,,23.0468146824194,,410.85853680647705,Balanced
77,77296,44691,OH,Wooster,"Wooster, OH",Wayne County,255050.80381768305,3.7978284142321863,73.14996728937147,92.13756368689208,86.58968375698515,,42.54077511900112,68.88359797044997,31.166666666666668,28.884126613014388,,155.20950780410354,Balanced
78,65239,17881,PA,Trevorton,"Sunbury, PA",Northumberland County,120604.63400521775,5.880680829962132,86.61466222910867,88.66373320981936,52.0173173393412,,66.88365824131138,68.83587420391612,33.666666666666664,23.828737523520413,,257.8132789616582,Balanced
79,65182,17774,PA,Unityville,"Williamsport, PA",Lycoming County,290246.5995718344,9.396665537046314,100.0,83.80037054191754,89.26847880701163,,20.941427905506025,68.80205545088705,37.166666666666664,29.275836891255075,,64.16957356497093,Balanced
80,77567,45304,OH,Arcanum,"Greenville, OH",Darke County,230868.0461558466,8.370691887042373,100.0,90.05326540064844,82.74281545710247,,20.601408664393443,68.67949790442887,32.666666666666664,28.3216133098457,,62.73641315299382,Balanced
81,77641,45388,OH,Yorkshire,"Greenville, OH",Darke County,333321.72646606714,8.43944664652133,100.0,90.05326540064844,82.74281545710247,,20.601408664393443,68.67949790442887,32.666666666666664,28.3216133098457,,62.73641315299382,Balanced
82,77607,45346,OH,New Madison,"Greenville, OH",Darke County,201106.94084384016,8.926743721427885,100.0,90.05326540064844,82.74281545710247,,20.601408664393443,68.67949790442887,32.666666666666664,28.3216133098457,,62.73641315299382,Balanced
83,77617,45358,OH,Pitsburg,"Greenville, OH",Darke County,177573.7409717264,10.421097328816481,100.0,90.05326540064844,82.74281545710247,,20.601408664393443,68.67949790442887,32.666666666666664,28.3216133098457,,62.73641315299382,Balanced
84,77612,45351,OH,Osgood,"Greenville, OH",Darke County,268193.92815049045,13.816138527189267,100.0,90.05326540064844,82.74281545710247,,20.601408664393443,68.67949790442887,32.666666666666664,28.3216133098457,,62.73641315299382,Balanced
85,77566,45303,OH,Ansonia,"Greenville, OH",Darke County,172831.41725472538,8.574379418413907,100.0,90.05326540064844,82.74281545710247,,20.601408664393443,68.67949790442887,32.666666666666664,28.3216133098457,,62.73641315299382,Balanced
86,77610,45349,OH,Springfield,"Springfield, OH",Clark County,179417.45038353873,8.17385510003118,100.0,89.59008800370542,94.74989790887327,,8.992592306406888,68.66651564379711,33.0,30.077364504023667,,13.805958571248794,Balanced
