rank,region_id,region_name,state,city,metro,county_name,current_value,appreciation_pct,appreciation_score,velocity_score,distress_score,pricing_power_score,value_gap_score,composite_score,days_to_pending,price_cut_pct,sale_to_list,value_gap_pct,strategy
27,65187,17801,PA,Sunbury,"Sunbury, PA",Northumberland County,174519.136169323,7.680252900743326,98.24807839059325,88.66373320981936,52.0173173393412,,66.88365824131138,72.4859576073173,33.666666666666664,23.828737523520413,,257.8132789616582,Value-Add Flip
28,65234,17872,PA,Shamokin,"Sunbury, PA",Northumberland County,54116.254021074245,7.666065491438544,98.1563632326534,88.66373320981936,52.0173173393412,,66.88365824131138,72.46302881783234,33.666666666666664,23.828737523520413,,257.8132789616582,Value-Add Flip
29,87994,68423,NE,Pleasant Dale,"Lincoln, NE",Seward County,475753.3265735197,4.666619719981011,78.7663085192441,93.52709587772117,81.39407572968189,,59.191980023955345,72.29745166339441,30.166666666666668,28.124392095069688,,225.39332329470403,Value-Add Flip
30,85528,62513,IL,Blue Mound,"Decatur, IL",Macon County,139016.83228083982,4.2121624893201,75.82844891488875,97.92728114867994,67.66247513034823,,68.9185652451205,71.90834073837395,27.0,26.116470999574975,,266.39028816375975,Value-Add Flip
31,83094,57036,SD,Hurley,"Sioux Falls, SD",Turner County,294239.25600155554,4.965085003878516,80.69575103155651,42.345993515516426,75.99446826451538,,89.20270818888699,71.52540748534142,67.0,27.33482749491487,,351.8867164328458,Value-Add Flip
32,88005,68439,NE,Seward,"Lincoln, NE",Seward County,229655.12033499512,4.1808393659157455,75.6259591474841,93.52709587772117,81.39407572968189,,59.191980023955345,71.51236432045441,30.166666666666668,28.124392095069688,,225.39332329470403,Value-Add Flip
33,87960,68364,NE,Goehner,"Lincoln, NE",Seward County,211764.62053502,4.035548569384482,74.68672013176186,93.52709587772117,81.39407572968189,,59.191980023955345,71.27755456652385,30.166666666666668,28.124392095069688,,225.39332329470403,Value-Add Flip
34,90165,73754,OK,Lahoma,"Enid, OK",Garfield County,146230.21126538122,5.021156114018488,81.05822529390242,69.90504863362668,78.58510429268473,,68.21219570926245,71.02038340437217,47.166666666666664,27.71364660591947,,263.412983550921,Value-Add Flip
35,76190,42031,KY,Clinton,,Hickman County,117657.89292884944,11.554410175644769,100.0,,,,83.41660342404073,70.85415085601018,,,,327.49863691888635,Value-Add Flip
36,77101,44270,OH,Rittman,"Wooster, OH",Wayne County,198100.90131685915,5.816056992138856,86.19689846651364,92.13756368689208,86.58968375698515,,42.54077511900112,70.82298970080953,31.166666666666668,28.884126613014388,,155.20950780410354,Value-Add Flip
37,78250,46764,IN,Larwill,"Fort Wayne, IN",Whitley County,314205.2870523955,5.623064205454505,84.94928774832272,92.83232978230662,98.12144512503946,31.35795959009002,45.330893817017305,70.8228778222024,30.666666666666668,30.570373365650845,0.9953697503807503,166.9696883445628,Value-Add Flip
38,83080,57021,SD,Davis,"Sioux Falls, SD",Turner County,358114.351392923,4.512610761567499,77.77071054630855,42.345993515516426,75.99446826451538,,89.20270818888699,70.79414736402941,67.0,27.33482749491487,,351.8867164328458,Value-Add Flip
39,78228,46723,IN,Churubusco,"Fort Wayne, IN",Whitley County,288116.8967582829,5.580087815839706,84.67146490720137,92.83232978230662,98.12144512503946,31.35795959009002,45.330893817017305,70.75342211192206,30.666666666666668,30.570373365650845,0.9953697503807503,166.9696883445628,Value-Add Flip
40,67998,24127,VA,New Castle,"Roanoke, VA",Craig County,212154.77253345383,6.387195809044269,89.8890515349675,78.2422417786012,100.0,34.52937323412631,45.058600653723005,70.65265529908174,41.166666666666664,33.11355642455492,0.9941970819961169,165.82198922962888,Value-Add Flip
41,93519,80734,CO,Holyoke,,Phillips County,257210.93557882405,6.68847664752654,91.83669532898558,,,,90.4482799942009,70.57124383079662,,,,357.1367258023441,Value-Add Flip
42,77077,44230,OH,Doylestown,"Wooster, OH",Wayne County,274366.6975131913,5.569490340578763,84.60295704248547,92.13756368689208,86.58968375698515,,42.54077511900112,70.42450434480249,31.166666666666668,28.884126613014388,,155.20950780410354,Value-Add Flip
43,78271,46787,IN,South Whitley,"Fort Wayne, IN",Whitley County,235121.0951513246,5.3658406786592865,83.28645446572207,92.83232978230662,98.12144512503946,31.35795959009002,45.330893817017305,70.40716950155223,30.666666666666668,30.570373365650845,0.9953697503807503,166.9696883445628,Value-Add Flip
44,79190,48417,MI,Burt,"Saginaw, MI",Saginaw County,197470.7345241912,9.593496974838859,100.0,88.20055581287633,66.24754293323345,,45.00506844809853,70.23085907060278,34.0,25.90957070512428,,165.5963542402213,Value-Add Flip
45,79188,48415,MI,Birch Run,"Saginaw, MI",Saginaw County,227535.33963136523,8.503967509725296,100.0,88.20055581287633,66.24754293323345,,45.00506844809853,70.23085907060278,34.0,25.90957070512428,,165.5963542402213,Value-Add Flip
46,79278,48616,MI,Chesaning,"Saginaw, MI",Saginaw County,205006.53008559687,8.253731372644427,100.0,88.20055581287633,66.24754293323345,,45.00506844809853,70.23085907060278,34.0,25.90957070512428,,165.5963542402213,Value-Add Flip
47,79299,48637,MI,Merrill,"Saginaw, MI",Saginaw County,190404.11970980265,8.053569370040687,100.0,88.20055581287633,66.24754293323345,,45.00506844809853,70.23085907060278,34.0,25.90957070512428,,165.5963542402213,Value-Add Flip
48,79332,48722,MI,Bridgeport,"Saginaw, MI",Saginaw County,169771.12992295905,9.158612627489365,100.0,88.20055581287633,66.24754293323345,,45.00506844809853,70.23085907060278,34.0,25.90957070512428,,165.5963542402213,Value-Add Flip
49,79300,48638,MI,Saginaw,"Saginaw, MI",Saginaw County,192344.4994760102,7.873339063739712,99.49629274423461,88.20055581287633,66.24754293323345,,45.00506844809853,70.10493225666143,34.0,25.90957070512428,,165.5963542402213,Value-Add Flip
50,77224,44606,OH,Apple Creek,"Wooster, OH",Wayne County,312956.5272558765,5.371609672806901,83.32374839289623,92.13756368689208,86.58968375698515,,42.54077511900112,70.10470218240518,31.166666666666668,28.884126613014388,,155.20950780410354,Value-Add Flip
51,65196,17823,PA,Rebuck,"Sunbury, PA",Northumberland County,258792.81250962047,6.135083395475159,88.25925927816026,88.66373320981936,52.0173173393412,,66.88365824131138,69.98875282920906,33.666666666666664,23.828737523520413,,257.8132789616582,Value-Add Flip
52,79285,48623,MI,Freeland,"Saginaw, MI",Saginaw County,281079.7638768253,7.760247558238353,98.76520752170444,88.20055581287633,66.24754293323345,,45.00506844809853,69.92216095102889,34.0,25.90957070512428,,165.5963542402213,Value-Add Flip
53,79266,48604,MI,Saginaw,"Saginaw, MI",Saginaw County,132727.04295024285,7.740519289873717,98.6376732263252,88.20055581287633,66.24754293323345,,45.00506844809853,69.89027737718408,34.0,25.90957070512428,,165.5963542402213,Value-Add Flip
54,77461,45135,OH,Leesburg,"Washington Court House, OH",Highland County,252044.31409676213,4.867652623927649,80.0658949441144,85.14358499305233,100.0,,37.95252798844442,69.77614348209755,36.2,37.04672739352265,,135.8703253320617,Value-Add Flip
55,90133,73703,OK,Enid,"Enid, OK",Garfield County,188273.21257731025,4.250957532902197,76.07924125286804,69.90504863362668,78.58510429268473,,68.21219570926245,69.77563739411357,47.166666666666664,27.71364660591947,,263.412983550921,Value-Add Flip
56,65239,17881,PA,Trevorton,"Sunbury, PA",Northumberland County,120604.63400521775,5.880680829962132,86.61466222910867,88.66373320981936,52.0173173393412,,66.88365824131138,69.57760356694617,33.666666666666664,23.828737523520413,,257.8132789616582,Value-Add Flip
57,65539,18619,PA,Hillsgrove,"Williamsport, PA",Sullivan County,151576.50188595068,9.868957672945337,100.0,83.80037054191754,89.26847880701163,,26.54921621977444,69.56105539763357,37.166666666666664,29.275836891255075,,87.80606008985056,Value-Add Flip
58,74823,38454,TN,Duck River,,Hickman County,282271.7347222558,7.142770663509143,94.77349982456967,,,,83.41660342404073,69.5475258121526,,,,327.49863691888635,Value-Add Flip
59,87912,68310,NE,Beatrice,"Beatrice, NE",Gage County,182118.31576708952,7.5931333939631935,97.68489034460596,,100.0,,40.40369063365486,69.5221452445652,,31.06719140922307,,146.2018267345648,Value-Add Flip
60,77464,45142,OH,,"Wilmington, OH",Highland County,206405.94467376525,4.311901114439013,76.47321382996043,100.0,92.00653265502454,,37.95252798844442,69.50774198560613,23.166666666666668,29.67621236403808,,135.8703253320617,Value-Add Flip
61,79288,48626,MI,Hemlock,"Saginaw, MI",Saginaw County,237118.67964811003,7.49312898686539,97.0384072697457,88.20055581287633,66.24754293323345,,45.00506844809853,69.4904608880392,34.0,25.90957070512428,,165.5963542402213,Value-Add Flip
62,77235,44618,OH,Dalton,"Wooster, OH",Wayne County,291409.03242988954,4.955242679240291,80.63212487266462,92.13756368689208,86.58968375698515,,42.54077511900112,69.43179630234728,31.166666666666668,28.884126613014388,,155.20950780410354,Value-Add Flip
63,64849,17017,PA,Dalmatia,"Sunbury, PA",Northumberland County,211841.98650836188,5.696403788123452,85.42339484308725,88.66373320981936,52.0173173393412,,66.88365824131138,69.27978672044081,33.666666666666664,23.828737523520413,,257.8132789616582,Value-Add Flip
64,78229,46725,IN,Columbia City,"Fort Wayne, IN",Whitley County,274682.1436453275,4.661618005530039,78.73397470684846,92.83232978230662,98.12144512503946,31.35795959009002,45.330893817017305,69.26904956183382,30.666666666666668,30.570373365650845,0.9953697503807503,166.9696883445628,Value-Add Flip
65,84708,60922,IL,,"Kankakee, IL",Iroquois County,211496.5516774224,9.94060524846143,100.0,86.3478462251042,76.61164012677037,,33.92313140388381,69.25528781009065,35.333333333333336,27.425074250404368,,118.88666390674845,Value-Add Flip
66,87078,66067,KS,Ottawa,"Ottawa, KS",Franklin County,226616.8926841015,7.642662440469857,98.00507313664241,86.81102362204724,99.52262473361584,,17.163776552659275,69.21839091235567,35.0,30.77526267001745,,48.24700297326982,Value-Add Flip
67,76646,43342,OH,Prospect,"Marion, OH",Marion County,256838.72050239675,6.135561973057345,88.26235306488296,97.92728114867994,100.0,,19.840944687846413,69.21491661048432,27.0,31.874184941010743,,59.53110376416123,Value-Add Flip
68,77284,44677,OH,Smithville,"Wooster, OH",Wayne County,250737.14176070143,4.8200907257961205,79.75842887294226,92.13756368689208,86.58968375698515,,42.54077511900112,69.21337230241669,31.166666666666668,28.884126613014388,,155.20950780410354,Value-Add Flip
